#   KDSpillTree
#   leaf        alpha       true nn
    0.02		0		    0.5127
    0.02		0.05		0.5468
    0.02		0.1		    0.5859
    0.05		0		    0.5923
    0.05		0.05		0.6091
    0.05		0.1		    0.6885
