                leaf               alpha          error rate             true nn           subdomain
               0.025                0.05               0.046              0.5468             913.313
               0.025                 0.1              0.0422              0.5859             1007.28
                0.05                0.05              0.0441              0.6091             1660.63
                0.05                 0.1              0.0379              0.6885             2799.28
               0.075                0.05              0.0393              0.6753             3019.63
               0.075                 0.1              0.0379              0.6885             2799.28
                 0.1                0.05              0.0373              0.7439             5490.26
                 0.1                 0.1               0.037              0.7376             4665.53
