0 0.0309
1 0.04
2 0.045
3 0.0471
4 0.054
5 0.0559
6 0.057
7 0.0612
8 0.0668
9 0.0671
10 0.0658
11 0.0724
12 0.0709
13 0.0765
14 0.0739
15 0.0783
16 0.0792
17 0.0773
18 0.0842
19 0.0844
20 0.0822
21 0.0871
22 0.0883
23 0.0885
24 0.091
25 0.09
26 0.0939
27 0.0962
28 0.096
29 0.1007
30 0.1023
31 0.0997
32 0.1021
33 0.1001
34 0.1017
35 0.1059
36 0.1052
37 0.1034
38 0.1062
39 0.1075
40 0.1107
41 0.1099
42 0.1127
43 0.1115
44 0.1141
45 0.1106
46 0.1177
47 0.1201
48 0.1157
49 0.1207
50 0.115
51 0.1206
52 0.1192
53 0.1213
54 0.1244
55 0.1182
56 0.1253
57 0.127
58 0.1284
59 0.1245
60 0.1267
61 0.1263
62 0.1278
63 0.1305
64 0.1319
65 0.1341
66 0.1349
67 0.1299
68 0.133
69 0.1331
70 0.1387
71 0.1379
72 0.139
73 0.1352
74 0.1416
75 0.145
76 0.1407
77 0.1412
78 0.1442
79 0.1404
80 0.143
81 0.1406
82 0.1488
83 0.1473
84 0.1441
85 0.1468
86 0.1435
87 0.1483
88 0.1399
89 0.1445
90 0.1474
91 0.1549
92 0.1481
93 0.1561
94 0.1507
95 0.1495
96 0.1496
97 0.1516
98 0.1546
99 0.1527
