1  0.0461
2  0.0641
3  0.0742
4  0.082
5  0.0893
6  0.0954
7  0.1013
8  0.1095
9  0.116
10  0.1132
11  0.1195
12  0.1296
13  0.1312
14  0.1286
15  0.1398
16  0.1324
17  0.1412
18  0.1472
19  0.15
20  0.1538
21  0.1544
22  0.1578
23  0.1584
24  0.1618
25  0.1687
26  0.1691
27  0.169
28  0.172
29  0.175
30  0.183
31  0.1778
32  0.182
33  0.1805
34  0.1886
35  0.1903
36  0.1943
37  0.193
38  0.1934
39  0.1943
40  0.1943
41  0.1942
42  0.1984
43  0.2012
44  0.2044
45  0.204
46  0.215
47  0.2061
48  0.2077
49  0.2113
50  0.2153
51  0.2148
52  0.2186
53  0.2179
54  0.2259
55  0.2182
56  0.2206
57  0.223
58  0.2288
59  0.2291
60  0.2287
61  0.2298
62  0.2373
63  0.2309
64  0.2351
65  0.2375
66  0.2336
67  0.242
68  0.2378
69  0.2379
70  0.2418
71  0.2447
72  0.2428
73  0.2485
74  0.2455
75  0.2456
76  0.2464
77  0.2494
78  0.2565
79  0.2545
80  0.2511
81  0.2568
82  0.2529
83  0.2619
84  0.2548
85  0.2572
86  0.2605
87  0.2637
88  0.2661
89  0.2645
90  0.2611
91  0.2654
92  0.2673
93  0.2662
94  0.27
95  0.2662
96  0.2738
97  0.2712
98  0.2693
99  0.2727
100  0.2815
